longitude,latitude,median_income,median_house_value
-122.25,37.79,2.1,75000.0
-122.25,37.79,1.6,112500.0
-122.25,37.79,3.625,125000.0
-122.26,37.8,1.6929,115000.0
-122.22,37.77,1.6471,95000.0
-122.22,37.77,2.59,96400.0
-122.23,37.77,2.57,72000.0
-122.23,37.78,2.6429,71300.0
-122.23,37.78,3.0257,80800.0
-122.22,37.78,1.4886,128800.0
-122.23,37.78,1.9338,112500.0
-122.23,37.78,1.4844,119400.0
-122.23,37.78,1.6009,118100.0
-122.23,37.79,2.0375,122500.0
-122.23,37.79,2.293,106300.0
-122.22,37.79,2.1494,132500.0
-122.23,37.79,1.6198,122700.0
-122.23,37.79,1.3281,113300.0
-122.22,37.79,3.5156,109500.0
-122.22,37.79,3.9048,164700.0
-122.21,37.79,3.0893,125000.0
-122.22,37.79,2.6042,124700.0
-122.22,37.79,2.5,136700.0
-122.22,37.79,2.7969,141700.0
-122.2,37.79,2.8321,150000.0
-122.21,37.79,2.9583,138800.0
-122.21,37.79,2.8365,139200.0
-122.21,37.79,2.875,143800.0
-122.21,37.8,3.0682,156500.0
-122.21,37.8,3.0757,151000.0
-122.2,37.8,4.9559,273000.0
-122.2,37.8,4.7721,217100.0
-122.21,37.8,3.4861,187100.0
-122.2,37.8,5.1184,239600.0
-122.21,37.8,4.0977,229700.0
-122.19,37.8,4.744,257300.0
-122.19,37.8,4.2727,246900.0
-122.19,37.79,2.9844,179900.0
-122.2,37.79,4.1739,169600.0
-122.2,37.8,3.8487,203300.0
-122.19,37.8,4.0114,263400.0
-122.19,37.79,4.6563,231800.0
-122.19,37.79,2.9297,140500.0
-122.2,37.79,2.3036,126000.0
-122.2,37.79,2.6667,122000.0
-122.2,37.79,2.619,134700.0
-122.21,37.79,2.4167,139400.0
-122.2,37.79,2.7788,115400.0
-122.21,37.78,2.7352,137300.0
-122.21,37.78,1.8472,137000.0
-122.21,37.78,2.6583,142600.0
-122.21,37.78,3.0536,137500.0
-122.22,37.78,2.3906,111700.0
-122.21,37.78,1.7188,126800.0
-122.21,37.78,2.625,111300.0
-122.22,37.77,2.8015,114800.0
-122.22,37.78,1.7276,102300.0
-122.22,37.78,2.0801,131900.0
-122.22,37.78,2.489,119100.0
-122.21,37.76,1.7546,80600.0
-122.21,37.77,4.0904,80600.0
-122.21,37.77,2.6765,88800.0
-122.2,37.77,2.4338,102400.0
-122.21,37.77,2.3309,98700.0
-122.21,37.77,2.2604,100000.0
-122.19,37.77,1.8039,92300.0
-122.2,37.77,2.2562,94800.0
-122.2,37.77,2.0562,102000.0
-122.2,37.78,3.5398,158400.0
-122.2,37.78,3.1167,121600.0
-122.2,37.78,2.5401,129100.0
-122.2,37.77,2.898,121400.0
-122.21,37.78,2.3125,102800.0
-122.19,37.78,2.875,160000.0
-122.19,37.77,3.3715,143900.0
-122.19,37.77,3.5114,151200.0
-122.19,37.78,4.3125,164400.0
-122.19,37.78,3.22,156500.0
-122.18,37.78,3.875,225000.0
-122.19,37.78,5.2328,174200.0
-122.19,37.78,3.7262,166900.0
-122.2,37.78,4.5893,163500.0
-122.18,37.79,5.2578,253000.0
-122.18,37.79,7.0875,240700.0
-122.18,37.79,3.9712,208100.0
-122.19,37.79,2.9514,198100.0
-122.19,37.79,2.6667,172800.0
-122.18,37.81,5.4446,336700.0
-122.18,37.8,6.2838,318200.0
-122.18,37.8,6.7527,285800.0
-122.13,37.77,7.0712,293000.0
-122.16,37.79,5.9849,371000.0
-122.17,37.78,3.6875,157300.0
-122.17,37.77,2.875,135300.0
-122.18,37.78,3.4205,136700.0
-122.18,37.78,3.2984,160700.0
-122.17,37.78,3.875,140600.0
-122.17,37.78,4.175,144000.0
-122.16,37.77,4.375,161900.0
-122.16,37.77,4.7708,156300.0
-122.16,37.77,3.5739,176000.0
-122.16,37.77,3.0958,145800.0
-122.17,37.77,3.3958,141900.0
-122.17,37.77,1.871,90700.0
-122.17,37.76,1.9356,90600.0
-122.17,37.76,2.1842,107900.0
-122.18,37.76,2.2917,107000.0
-122.17,37.76,2.4333,98200.0
-122.18,37.76,1.9479,89500.0
-122.18,37.76,3.9063,93800.0
-122.18,37.76,1.8407,96700.0
-122.18,37.77,2.0786,97500.0
-122.18,37.77,2.8125,97300.0
-122.18,37.76,1.8913,91200.0
-122.19,37.76,1.7056,91400.0
-122.18,37.77,2.2768,96200.0
-122.18,37.77,3.2552,120100.0
-122.18,37.77,2.0556,100000.0
-122.19,37.76,2.4659,94700.0
-122.2,37.76,1.75,85700.0
-122.19,37.77,2.0469,89300.0
-122.19,37.77,2.7159,101400.0
-122.19,37.76,1.2083,72500.0
-122.19,37.76,1.925,74100.0
-122.2,37.75,1.5809,70000.0
-122.2,37.76,1.4097,84600.0
-122.19,37.76,0.7683,81800.0
-122.19,37.75,1.3194,81400.0
-122.19,37.75,0.8012,81800.0
-122.19,37.76,1.9479,85800.0
-122.19,37.74,1.1765,87100.0
-122.18,37.74,2.3456,83500.0
-122.19,37.73,2.1538,79700.0
-122.19,37.74,2.5139,83400.0
-122.19,37.73,1.2625,84700.0
-122.18,37.73,2.9063,80000.0
-122.18,37.73,2.5192,76400.0
-122.18,37.73,2.1111,79700.0
-122.18,37.73,2.455,82400.0
-122.17,37.74,2.4028,97700.0
-122.17,37.74,2.15,97200.0
-122.17,37.74,2.4776,101600.0
-122.17,37.73,2.1587,86500.0
-122.18,37.74,1.8438,90500.0
-122.17,37.74,3.0298,107600.0
-122.17,37.74,2.25,84200.0
-122.18,37.74,2.2467,88900.0
-122.18,37.75,4.0469,80700.0
-122.18,37.75,1.325,87100.0
-122.17,37.75,1.6196,85100.0
-122.18,37.75,2.1731,82000.0
-122.19,37.75,1.9167,82800.0
-122.18,37.75,2.069,84600.0
-122.18,37.75,1.712,82100.0
-122.17,37.76,2.5625,89300.0
-122.17,37.75,1.9821,98300.0
-122.17,37.75,2.5043,92300.0
-122.17,37.75,2.3281,88800.0
-122.17,37.75,1.4375,90000.0
-122.16,37.76,2.5122,95500.0
-122.16,37.75,1.5625,91700.0
-122.17,37.75,3.1587,100400.0
-122.17,37.76,1.8426,94800.0
-122.16,37.76,4.6696,164300.0
-122.16,37.76,2.4598,155500.0
-122.15,37.76,6.0749,196900.0
-122.14,37.77,4.8304,279100.0
-122.14,37.76,5.5701,252800.0
-122.13,37.76,5.37,275400.0
-122.12,37.75,6.86,250000.0
-122.12,37.75,7.6923,329800.0
-122.14,37.75,4.0313,195500.0
-122.14,37.75,6.8323,255900.0
-122.13,37.75,4.975,311100.0
-122.13,37.75,5.3602,330000.0
-122.13,37.74,5.0,248900.0
-122.16,37.75,2.925,142900.0
-122.15,37.75,3.8913,126300.0
-122.15,37.75,3.225,135800.0
-122.15,37.74,3.1458,130600.0
-122.16,37.75,2.537,107900.0
-122.16,37.75,2.5568,111100.0
-122.15,37.74,3.5083,122000.0
-122.15,37.74,3.3125,118000.0
-122.16,37.75,1.8235,95200.0
-122.16,37.75,3.8047,94300.0
-122.17,37.74,2.2917,92500.0
-122.17,37.75,2.4962,91800.0
-122.16,37.74,4.0417,109400.0
-122.16,37.74,3.4844,129500.0
-122.16,37.74,4.1458,143400.0
-122.16,37.74,2.625,98200.0
-122.16,37.74,2.0227,103100.0
-122.29,37.9,3.3333,276800.0
-122.29,37.9,5.338,270900.0
-122.29,37.89,3.4732,246200.0
-122.3,37.9,3.5125,224200.0
-122.29,37.89,3.1375,229100.0
-122.3,37.89,2.8036,211600.0
-122.3,37.9,4.5824,256100.0
-122.3,37.89,3.0208,206300.0
-122.3,37.89,4.0875,221300.0
-122.33,37.89,4.5268,207400.0
-122.34,37.88,1.7375,350000.0
-122.29,37.89,3.1795,218200.0
-122.29,37.88,3.8672,216700.0
-122.29,37.89,5.1675,270600.0
-122.29,37.89,5.1696,261400.0
-122.28,37.88,4.2614,261300.0
-122.29,37.89,5.0551,232200.0
-122.27,37.9,5.6228,375400.0
-122.26,37.9,7.8864,357300.0
-122.27,37.9,7.9556,374400.0
-122.27,37.9,6.174,358800.0
-122.27,37.9,6.9414,417500.0
-122.27,37.89,8.8342,430500.0
-122.28,37.9,7.1754,362900.0
-122.28,37.9,10.0825,397000.0
-122.28,37.9,4.9083,346800.0
-122.28,37.89,5.7912,327100.0
-122.28,37.89,4.5893,290100.0
-122.28,37.89,5.4171,292000.0
-122.28,37.89,4.125,270900.0
-122.27,37.89,7.266,371100.0
-122.27,37.89,5.3989,335600.0
-122.26,37.9,7.8336,371300.0
-122.25,37.89,6.1593,344000.0
-122.26,37.89,6.381,342200.0
-122.26,37.89,6.6828,370900.0
-122.25,37.89,7.5385,350000.0
-122.25,37.89,6.7138,368600.0
-122.26,37.88,6.2425,391800.0
-122.26,37.88,5.7979,415300.0
-122.27,37.88,4.2813,284900.0
-122.27,37.88,3.5417,287500.0
-122.27,37.88,3.0132,272900.0
-122.28,37.88,4.1429,259600.0
-122.28,37.88,4.1912,254500.0
-122.28,37.88,3.9167,235600.0
-122.29,37.88,3.8897,218400.0
-122.29,37.88,3.1065,229200.0
-122.29,37.88,2.9926,192100.0
-122.29,37.88,3.556,179300.0
-122.3,37.88,1.475,187500.0
-122.3,37.88,1.6971,138800.0
-122.3,37.87,2.1705,150000.0
-122.3,37.86,2.75,140600.0
-122.29,37.85,2.5682,120000.0
-122.3,37.88,2.9,144800.0
-122.3,37.87,2.2208,144800.0
-122.28,37.88,3.2344,245500.0
-122.28,37.87,3.5156,200000.0
-122.28,37.87,1.9805,173700.0
-122.29,37.87,2.6684,185600.0
-122.29,37.87,3.875,182600.0
-122.28,37.88,3.006,227900.0
-122.28,37.87,2.543,220700.0
-122.28,37.87,2.8676,212000.0
-122.27,37.88,2.1907,271400.0
-122.27,37.87,1.7778,268800.0
-122.27,37.88,2.52,277800.0
-122.26,37.88,4.2788,332500.0
-122.26,37.88,2.944,338900.0
-122.26,37.88,1.725,287500.0
-122.25,37.87,5.2289,384600.0
-122.25,37.87,2.5562,371400.0
-122.25,37.87,0.949,350000.0
-122.25,37.87,1.1696,500001.0
-122.26,37.87,1.4012,175000.0
-122.26,37.87,1.1859,241700.0
-122.27,37.87,1.7464,216700.0
-122.27,37.87,2.8846,211300.0
-122.27,37.87,2.7372,210200.0
-122.28,37.86,3.8594,196400.0
-122.28,37.87,3.5625,191700.0
-122.28,37.87,2.2788,182300.0
-122.29,37.87,2.537,175000.0
-122.29,37.87,2.525,165900.0
-122.29,37.86,1.9946,156900.0
-122.28,37.86,2.8214,164300.0
-122.29,37.87,2.6165,150000.0
-122.29,37.86,1.9483,150500.0
-122.28,37.86,1.9327,169900.0
-122.28,37.86,1.9798,147400.0
-122.28,37.85,2.4167,152700.0
-122.27,37.86,2.5417,182700.0
-122.28,37.86,3.3906,179300.0
-122.28,37.86,2.5652,157700.0
-122.28,37.86,2.2845,153100.0
-122.27,37.86,2.6071,250000.0
-122.27,37.86,3.15,206300.0
-122.27,37.86,2.6914,218800.0
-122.27,37.86,1.8447,198200.0
-122.26,37.86,1.6307,253600.0
-122.26,37.86,2.9044,257400.0
-122.26,37.86,2.9405,289500.0
-122.26,37.86,3.3893,241700.0
-122.25,37.86,3.0417,489600.0
-122.25,37.86,7.0897,446200.0
-122.25,37.86,5.0463,456300.0
-122.25,37.86,1.7652,336800.0
-122.24,37.86,7.8521,500001.0
-122.24,37.85,9.3959,500001.0
-122.25,37.86,5.3794,376900.0
-122.26,37.85,3.2619,309600.0
-122.27,37.85,2.7054,182300.0
-122.27,37.85,2.2431,172700.0
-122.27,37.85,1.9028,150800.0
-122.27,37.85,1.5817,153600.0
-122.27,37.85,2.2841,106300.0
-122.27,37.85,1.3785,142300.0
-122.28,37.85,2.9018,119400.0
-122.28,37.85,1.73,147900.0
-122.28,37.85,2.2625,132900.0
-122.29,37.84,2.2106,132500.0
-122.28,37.83,2.6997,126900.0
-122.3,37.84,4.0018,143800.0
-122.23,37.83,7.8772,500001.0
-122.22,37.82,11.8603,500001.0
-122.22,37.82,13.499,500001.0
-122.23,37.82,12.2138,500001.0
-122.23,37.82,8.1872,466100.0
-122.23,37.82,12.3804,500001.0
-122.24,37.83,5.8948,457800.0
-122.24,37.83,8.1194,471600.0
-122.23,37.82,8.7477,500001.0
-122.24,37.82,6.155,398600.0
-122.25,37.82,5.883,340700.0
-122.23,37.76,5.2128,289900.0
-122.23,37.76,4.7188,335300.0
-122.23,37.76,5.2915,333000.0
-122.24,37.77,2.6411,241000.0
-122.23,37.77,3.3214,189600.0
-122.24,37.77,3.6417,206300.0
-122.25,37.77,3.0161,215700.0
-122.25,37.77,3.1771,210200.0
-122.25,37.77,3.4531,208800.0
-122.25,37.77,4.3098,197900.0
-122.26,37.78,3.3438,201300.0
-122.26,37.78,2.9213,190800.0
-122.27,37.78,2.6806,207900.0
-122.27,37.78,3.7708,215300.0
-122.27,37.78,3.9444,212900.0
-122.27,37.78,5.2601,292700.0
-122.28,37.79,2.5444,275000.0
-122.3,37.77,2.6447,200000.0
-122.28,37.78,2.5762,173400.0
-122.29,37.78,1.9427,102200.0
-122.28,37.77,2.9688,220800.0
-122.28,37.77,3.75,242800.0
-122.29,37.76,5.1702,265400.0
-122.28,37.78,2.5139,219000.0
-122.26,37.77,2.9732,282100.0
-122.27,37.77,5.5337,372000.0
-122.27,37.77,4.1667,225800.0
-122.27,37.77,2.7115,220800.0
-122.27,37.77,3.3269,234500.0
-122.25,37.77,3.2685,254200.0
-122.26,37.77,4.7778,351800.0
-122.26,37.77,4.226,275000.0
-122.26,37.77,3.3571,405400.0
-122.26,37.77,2.9899,228100.0
-122.26,37.77,2.875,234000.0
-122.24,37.77,2.3882,162500.0
-122.25,37.77,2.975,243400.0
-122.23,37.76,5.1039,273800.0
-122.23,37.76,4.1458,248500.0
-122.24,37.76,3.4762,244000.0
-122.24,37.76,2.6833,240900.0
-122.23,37.76,5.75,306300.0
-122.23,37.75,3.9632,240000.0
-122.24,37.75,4.9489,247100.0
-122.24,37.75,4.8711,286600.0
-122.24,37.76,3.0718,266700.0
-122.24,37.76,3.6719,229800.0
-122.24,37.76,4.6094,229300.0
-122.24,37.73,4.5213,228400.0
-122.25,37.74,4.4562,206200.0
-122.24,37.72,7.611,350700.0
-122.27,37.73,3.2689,231000.0
-122.25,37.76,3.567,252900.0
-122.27,37.74,3.6875,353900.0
-122.27,37.77,4.7695,291700.0
-122.28,37.75,3.1972,100000.0
-122.06,37.77,7.2634,341600.0
-122.06,37.73,7.0568,412500.0
-122.06,37.71,4.635,248600.0
-122.07,37.71,5.3015,254900.0
-122.07,37.71,4.9801,241500.0
-122.07,37.72,5.4834,295200.0
-122.08,37.72,6.187,340400.0
-122.08,37.72,5.6194,274700.0
-122.08,37.71,5.4639,238600.0
-122.09,37.71,5.1498,266400.0
-122.1,37.72,5.8382,330200.0
-122.11,37.71,4.65,206800.0
-122.1,37.7,4.3819,209200.0
-122.1,37.69,3.7222,195800.0
-122.09,37.71,5.2855,253500.0
-122.09,37.7,4.3375,241800.0
-122.1,37.71,5.2131,252500.0
-122.09,37.7,6.005,263900.0
-122.08,37.71,5.0519,227000.0
-122.08,37.71,4.8237,220900.0
-122.08,37.7,5.2497,259300.0
-122.07,37.7,4.125,232500.0
-122.06,37.7,4.6005,231600.0
-122.06,37.7,3.5187,209400.0
-122.07,37.7,3.0,223200.0
-122.08,37.7,3.4934,209900.0
-122.09,37.7,2.9861,208200.0
-122.07,37.69,2.5362,203800.0
-122.08,37.69,3.3021,195700.0
-122.07,37.69,3.0964,190500.0
-122.08,37.69,2.8512,181000.0
-122.08,37.69,3.3478,184900.0
-122.08,37.68,2.3958,190800.0
-122.08,37.68,3.5295,242200.0
-122.09,37.69,4.8036,188300.0
-122.15,37.74,3.851,183500.0
-122.14,37.74,4.0662,204200.0
-122.14,37.73,4.6042,251900.0
-122.15,37.74,2.2,187500.0
-122.16,37.73,4.1164,198200.0
-122.15,37.74,3.95,219000.0
-122.15,37.73,4.9135,275000.0
-122.15,37.73,2.8355,245400.0
-122.17,37.73,3.25,177500.0
-122.16,37.73,2.8301,171600.0
-122.17,37.73,3.7159,183300.0
-122.16,37.73,2.5625,175000.0
-122.18,37.72,3.8047,156700.0
-122.18,37.71,3.375,157500.0
-122.17,37.71,3.244,179800.0
-122.18,37.7,4.0268,205500.0
-122.18,37.7,3.3906,178900.0
-122.19,37.71,5.5461,262500.0
-122.17,37.72,3.371,165000.0
-122.17,37.72,3.5313,159700.0
-122.17,37.72,3.663,158300.0
-122.16,37.72,2.875,144800.0
-122.17,37.72,4.0202,166300.0
-122.16,37.71,4.5553,191000.0
-122.16,37.71,3.4643,175000.0
-122.16,37.72,3.3431,137500.0
-122.15,37.73,2.1898,141700.0
-122.15,37.72,2.9097,210900.0
-122.15,37.72,3.375,198300.0
-122.15,37.72,2.8125,157400.0
-122.14,37.73,5.0,264700.0
-122.14,37.73,3.0673,218400.0
-122.14,37.73,3.8125,235100.0
-122.13,37.73,6.9096,341800.0
-122.13,37.72,7.912,367300.0
-122.13,37.72,3.8393,243500.0
-122.12,37.71,4.0,167900.0
-122.13,37.72,6.5095,371200.0
-122.14,37.72,3.5156,218900.0
-122.14,37.72,2.983,202700.0
-122.13,37.72,3.524,186200.0
-122.13,37.71,3.1103,188900.0
-122.13,37.71,3.5781,180000.0
-122.15,37.71,3.1682,202700.0
-122.14,37.71,2.6101,181700.0
-122.14,37.71,3.6932,166800.0
-122.13,37.7,3.4583,183700.0
-122.13,37.7,3.9032,218000.0
-122.15,37.71,4.0208,191500.0
-122.15,37.7,3.5547,194700.0
-122.14,37.7,4.5859,187200.0
-122.13,37.7,2.6321,223100.0
-122.13,37.69,3.395,271300.0
-122.14,37.7,3.9702,194100.0
-122.16,37.7,5.0043,190400.0
-122.14,37.69,4.4659,189100.0
-122.15,37.69,3.6625,184600.0
-122.15,37.69,3.8864,197300.0
-122.15,37.7,3.4583,192600.0
-122.16,37.69,3.7813,192200.0
-122.16,37.7,2.9917,194600.0
-122.16,37.7,4.4375,193500.0
-122.17,37.7,4.0,202600.0
-122.16,37.68,2.3869,83300.0
-122.17,37.69,4.7609,212600.0
-122.18,37.68,5.4858,187800.0
-122.16,37.69,4.3971,205700.0
-122.15,37.69,4.0109,192900.0
-122.15,37.68,4.3864,205200.0
-122.15,37.68,4.2841,213400.0
-122.15,37.69,5.1312,183600.0
-122.14,37.69,2.9958,178400.0
-122.14,37.68,3.6364,219200.0
-122.14,37.68,2.7955,183100.0
-122.1,37.69,2.9507,157100.0
-122.12,37.69,3.4375,157800.0
-122.13,37.69,2.875,161700.0
-122.12,37.71,3.0345,152100.0
-122.12,37.7,2.679,144900.0
-122.12,37.7,2.9922,179900.0
-122.12,37.69,4.1042,179100.0
-122.12,37.7,2.5833,159900.0
-122.11,37.7,2.1552,161400.0
-122.11,37.7,2.3274,170400.0
-122.11,37.7,2.4206,137500.0
-122.1,37.69,3.9063,178400.0
-122.11,37.69,2.6464,155200.0
-122.11,37.69,3.4643,160900.0
-122.12,37.69,2.3973,167300.0
-122.03,37.69,6.5,340000.0
-121.97,37.64,6.0574,431000.0
-122.02,37.63,3.8958,301100.0
-122.04,37.63,4.7813,241900.0
-122.05,37.63,3.2829,162500.0
-122.04,37.66,5.3169,299200.0
-122.04,37.65,6.2579,315500.0
-122.05,37.68,5.1701,216800.0
-122.07,37.68,3.25,218100.0
-122.06,37.68,3.1796,170300.0
-122.08,37.68,2.4196,275000.0
-122.08,37.68,2.6563,184100.0
-122.08,37.67,0.9637,160000.0
-122.09,37.67,2.3357,175000.0
-122.09,37.68,3.5114,197500.0
-122.09,37.69,3.3125,150000.0
-122.09,37.68,2.4042,205600.0
-122.09,37.68,2.8322,170300.0
-122.09,37.68,2.5156,190900.0
-122.1,37.68,3.4032,196900.0
-122.1,37.68,2.535,174000.0
-122.11,37.68,2.5772,170200.0
-122.1,37.68,3.0962,180900.0
-122.1,37.67,2.9564,150500.0
-122.1,37.68,3.125,167100.0
-122.12,37.68,2.95,148900.0
-122.12,37.68,4.38,196400.0
-122.12,37.68,4.0417,191100.0
-122.11,37.67,3.8,187500.0
-122.12,37.68,3.4839,180600.0
-122.13,37.68,4.0588,182800.0
-122.13,37.68,4.1974,179300.0
-122.13,37.68,3.6,179400.0
-122.14,37.68,4.267,210300.0
-122.14,37.67,4.2386,192300.0
-122.15,37.67,5.5797,198100.0
-122.14,37.67,4.0682,196200.0
-122.13,37.67,3.1734,181600.0
-122.14,37.67,4.7933,186900.0
-122.14,37.67,4.8125,188300.0
-122.13,37.67,3.8676,184000.0
-122.12,37.67,3.9395,184700.0
